id,usuario_id,descripcion,monto,categoria,fecha,split
32104,1150,3-C0MM3RC3 C4RR3F0UR 3XPR3SS C0RD0B4 *4488 R3F:397226,595.36,Alimentacion,2026-09-13,val
4535,157,COMPRA TPV PAGO CUOTA MENSUAL MAR DEL PLATA *2916 REF:165547,2291.3,Vivienda,2026-05-16,train
18293,654,DB AUTOMATICO CARREFOUR EXPRESS ONLINE *5042 REF:204650,328.31,Alimentacion,2026-07-13,train
32382,1160,PAGO QR DISCO CORDOBA *9465 REF:404710,49.02,Alimentacion,2026-02-26,train
18062,646,PAGO QR SUPERMERCADO DIA MENDOZA *5411 REF:777827,478.32,Alimentacion,2026-02-25,train
12578,453,E-COMMERCE CARNICERIA Y GRANJA MENDOZA *2999 REF:612609,624.43,Alimentacion,2026-02-25,train
816,29,E-COMMERCE PEAJE AUTOPISTA CORDOBA *6713 REF:607755,173.5,Transporte,2026-09-03,val
7450,265,E-COMMERCE SUPERMERCADO MENDOZA *2575 REF:324037,427.56,Alimentacion,2026-11-14,test
6880,244,COMPRA TPV ALQUILER DEPARTAMENTO LA PLATA *3149 REF:514676,682.76,Vivienda,2026-04-04,train
29402,1055,PAGO QR PANADERIA ARTESANAL CORDOBA *6485 REF:898832,717.88,Alimentacion,2026-06-26,train
8466,303,E-COMMERCE CLINICA MEDICA CORDOBA *4059 REF:489091,781.91,Salud,2026-05-05,train
15090,541,COMPRA TPV REMERA ALGODON MAR DEL PLATA *4146 REF:360932,272.42,Vestimenta,2026-11-25,test
6921,246,DB AUTOMATICO CLARO FACTURA MENSUAL CORDOBA *1308 REF:637262,121.94,Servicios,2026-08-20,train
18583,664,COMPRA TPV SUPERMERCADO ONLINE *8654 REF:203029,493.18,Alimentacion,2026-11-28,test
3192,111,TRANSFERENCIA SUPERMERCADO COTO MAR DEL PLATA *5878 REF:669402,636.85,Alimentacion,2026-11-17,test
30302,1087,PAGO QR TRANSFERENCIA RECIBIDA MENDOZA *9884 REF:354346,1487.86,Vivienda,2026-01-01,train
32675,1170,E-COMMERCE ZARA MODA MAR DEL PLATA *3895 REF:914399,483.55,Vestimenta,2026-08-09,train
22173,793,DB AUTOMATICO PAGO TARJETA VISA CABA *9942 REF:531777,1976.3,Creditos y Deudas,2026-08-07,train
30408,1090,COMPRA TPV PAGO TARJETA VISA CORDOBA *4913 REF:571846,566.07,Creditos y Deudas,2026-01-23,train
13834,498,E-COMMERCE ADQUISICION BONOS SOBERANOS MAR DEL PLATA *6594 REF:213917,523.31,Inversion,2026-10-19,val
21618,775,COMPRA TPV APERTURA PLAZO FIJO LA PLATA *4392 REF:857531,1340.57,Inversion,2026-04-18,train
17908,640,TRANSFERENCIA TELECENTRO INTERNET CORDOBA *4061 REF:213229,189.96,Servicios,2026-08-06,train
4127,143,TR4NSF3R3NCI4 SUB3 R3C4RG4 M4R D3L PL4T4 *7239 R3F:480693,243.44,Transporte,2026-07-10,train
7045,250,E-COMMERCE MANTENIMIENTO EDIFICIO ROSARIO *7692 REF:737845,933.0,Vivienda,2026-04-01,train
8876,318,E-COMMERCE CARGA AXION ONLINE *9407 REF:102670,130.88,Transporte,2026-03-22,train
30295,1086,PAGO QR ESTACION SHELL MAR DEL PLATA *4513 REF:725860,97.21,Transporte,2026-08-27,train
6009,210,COMPRA TPV COLEGIO MENSUALIDAD LA PLATA *7096 REF:138397,52.96,Educacion,2026-08-06,train
30600,1096,PAGO QR SUPERMERCADO LA PLATA *9150 REF:431177,819.04,Alimentacion,2026-02-06,train
21029,754,DB AUTOMATICO COMBUSTIBLE DIESEL YPF MAR DEL PLATA *7049 REF:153057,116.54,Transporte,2026-03-09,train
30282,1086,COMPRA TPV MERCADITO VECINAL ROSARIO *2427 REF:774949,680.96,Alimentacion,2026-11-24,test
31019,1112,TRANSFERENCIA SUPERMERCADO DIA CABA *4261 REF:237496,860.77,Alimentacion,2026-09-19,val
6675,235,DB AUTOMATICO SUSCRIPCION MENSUAL LA PLATA *6997 REF:468848,359.17,Servicios,2026-08-02,train
22810,820,DB AUTOMATICO TRANSFERENCIA RECIBIDA CABA *1731 REF:346975,2613.26,Inversion,2026-04-13,train
7036,249,E-COMMERCE FARMACITY CORDOBA *4545 REF:469669,852.68,Alimentacion,2026-05-11,train
7934,284,DB AUTOMATICO MANTENIMIENTO EDIFICIO MENDOZA *6086 REF:729716,108.09,Vivienda,2026-12-02,test
22434,804,DB AUTOMATICO ABONO CELULAR PERSONAL LA PLATA *6994 REF:471724,502.72,Servicios,2026-04-04,train
19450,694,PAGO QR INMOBILIARIA CONTRATO MENDOZA *8771 REF:548415,2562.35,Vivienda,2026-06-03,train
26637,958,DB AUTOMATICO PAGO CUOTA MENSUAL ROSARIO *9544 REF:216359,317.53,Educacion,2026-10-13,val
24050,861,C0MPR4 TPV 4LMU3RZ0 3J3CUTIV0 B0D3G0N 0NLIN3 *3294 R3F:810503,386.96,Alimentacion,2026-08-06,train
12082,435,PAGO QR VERDULERIA Y FRUTERIA ONLINE *5634 REF:337851,706.02,Alimentacion,2026-05-04,train
11703,421,E-COMMERCE SUPERMERCADO CABA *2289 REF:474550,264.71,Vestimenta,2026-12-04,test
20446,732,COMPRA TPV PAGO CUOTA MENSUAL CORDOBA *8158 REF:412726,365.31,Educacion,2026-06-05,train
16525,591,TRANSFERENCIA DISCO LA PLATA *9017 REF:994289,427.25,Alimentacion,2026-04-18,train
27559,989,PAGO QR CARNICERIA Y GRANJA ONLINE *5483 REF:946697,893.09,Alimentacion,2026-12-12,test
25872,928,DB AUTOMATICO SUSCRIPCION MENSUAL CORDOBA *3141 REF:847013,79.2,Servicios,2026-10-03,val
1920,67,PAGO QR METROGAS CONSUMO ROSARIO *7362 REF:229032,673.31,Servicios,2026-04-05,train
15775,564,TRANSFERENCIA DEBITO AUTOMATICO ONLINE *5328 REF:701505,795.05,Creditos y Deudas,2026-11-04,test
8378,300,E-COMMERCE UDEMY CURSO CORDOBA *4444 REF:963624,376.88,Educacion,2026-12-07,test
13877,500,E-COMMERCE AMORTIZACION CREDITO HIPOTECARIO LA PLATA *8329 REF:390370,3115.56,Creditos y Deudas,2026-09-06,val
26152,939,TRANSFERENCIA DEPOSITO GARANTIA ALQUILER LA PLATA *8685 REF:225077,2923.8,Vivienda,2026-10-03,val
17475,623,E-COMMERCE COMPRA DOLARES MEP ONLINE *6612 REF:559187,1981.07,Inversion,2026-07-04,train
11385,409,C0MPR4 TPV D3P0SIT0 G4R4NTI4 4LQUIL3R L4 PL4T4 *8805 R3F:997602,3193.61,Vivienda,2026-10-28,val
8642,308,DB AUTOMATICO SUBE RECARGA MENDOZA *6752 REF:846135,346.92,Transporte,2026-01-29,train
19488,696,E-COMMERCE APERTURA PLAZO FIJO ONLINE *1493 REF:796263,4297.91,Inversion,2026-11-04,test
30054,1078,PAGO QR INMOBILIARIA CONTRATO LA PLATA *8794 REF:904547,1429.81,Vivienda,2026-08-04,train
7349,261,TRANSFERENCIA EXPENSAS CONSORCIO ONLINE *5808 REF:815437,1075.32,Vivienda,2026-06-08,train
16860,603,COMPRA TPV REMERA ALGODON LA PLATA *5202 REF:272258,80.21,Vestimenta,2026-10-16,val
13517,486,E-COMMERCE ALQUILER DEPARTAMENTO ROSARIO *6232 REF:352441,633.01,Vivienda,2026-10-01,val
6877,243,PAGO QR ADELANTO DE SUELDO ONLINE *9607 REF:551352,2669.58,Creditos y Deudas,2026-10-04,val
5732,200,DB AUTOMATICO PAGO RESUMEN MENSUAL MENDOZA *3288 REF:316672,402.38,Vivienda,2026-08-04,train
21097,756,COMPRA TPV ALMUERZO EJECUTIVO BODEGON CABA *1531 REF:619431,371.15,Alimentacion,2026-10-13,val
8723,312,PAGO QR CARNICERIA Y GRANJA CORDOBA *4585 REF:552563,736.35,Alimentacion,2026-06-29,train
32472,1163,PAGO QR CARNICERIA Y GRANJA CORDOBA *2025 REF:457706,611.75,Alimentacion,2026-03-17,train
10242,366,DB AUTOMATICO PAGO CUOTA MENSUAL MENDOZA *8543 REF:483748,1531.43,Vivienda,2026-08-05,train
7932,284,DB AUTOMATICO ESTACIONAMIENTO MEDIDO LA PLATA *9725 REF:148098,72.58,Transporte,2026-07-15,train
24709,885,TRANSFERENCIA PINTURERIA LATEX MENDOZA *7099 REF:392722,4243.78,Vivienda,2026-07-02,train
40,2,TRANSFERENCIA CARNICERIA Y GRANJA MENDOZA *5455 REF:344959,236.57,Alimentacion,2026-08-06,train
27943,1003,E-COMMERCE CUOTA PRESTAMO PERSONAL CABA *5667 REF:874124,2984.59,Creditos y Deudas,2026-02-05,train
3681,127,PAGO QR MATERIAL ESTUDIO FOTOCOPIAS MENDOZA *4690 REF:196079,385.18,Educacion,2026-01-30,train
31471,1128,TRANSFERENCIA NIKE DEPORTES CORDOBA *7976 REF:920425,761.71,Vestimenta,2026-06-19,train
3157,109,DB AUTOMATICO PINTURERIA LATEX ROSARIO *5971 REF:518632,140.12,Vivienda,2026-04-01,train
28623,1028,PAGO QR PAGO CUOTA MENSUAL ROSARIO *9834 REF:689783,2793.86,Vivienda,2026-05-10,train
19720,706,E-COMMERCE MERCADITO VECINAL ONLINE *4085 REF:184277,576.83,Alimentacion,2026-10-22,val
29247,1050,COMPRA TPV CONEXION FIBRA OPTICA LA PLATA *3089 REF:570510,478.38,Servicios,2026-08-07,train
28586,1026,DB AUTOMATICO SAMSUNG TV ONLINE *6412 REF:648366,2158.33,Electrodomesticos,2026-07-11,train
1500,52,E-COMMERCE BALANZ INVERSIONES LA PLATA *8857 REF:280751,945.03,Inversion,2026-11-05,test
6559,229,DB AUTOMATICO UBER VIAJE ONLINE *4796 REF:799900,271.96,Transporte,2026-10-17,val
11876,428,PAGO QR PLATZI EDUCACION ROSARIO *2032 REF:652272,547.01,Educacion,2026-05-01,train
24065,862,PAGO QR PAGO TARJETA VISA LA PLATA *9898 REF:807553,278.72,Creditos y Deudas,2026-07-06,train
2342,82,PAGO QR METROGAS CONSUMO MENDOZA *6295 REF:897560,680.04,Servicios,2026-06-05,train
2967,103,TRANSFERENCIA DEPOSITO GARANTIA ALQUILER CABA *3305 REF:581744,172.83,Vivienda,2026-05-09,train
11179,403,DB AUTOMATICO PAGO TARJETA VISA MENDOZA *3996 REF:336365,1272.71,Creditos y Deudas,2026-06-03,train
4099,142,COMPRA TPV DEBITO AUTOMATICO ONLINE *7128 REF:539175,125.41,Servicios,2026-05-03,train
28829,1034,COMPRA TPV METROGAS CONSUMO CORDOBA *7728 REF:343392,92.92,Servicios,2026-08-10,train
13584,489,COMPRA TPV PAGO RESUMEN MASTERCARD ROSARIO *3648 REF:918481,2491.9,Creditos y Deudas,2026-08-01,train
5181,180,COMPRA TPV ESTACION SHELL MAR DEL PLATA *6687 REF:909756,134.07,Transporte,2026-04-28,train
12193,440,DB AUTOMATICO FARMACITY ROSARIO *2854 REF:121647,733.69,Alimentacion,2026-05-14,train
15868,567,TRANSFERENCIA BANCO BBVA PRESTAMO ROSARIO *7518 REF:325320,316.6,Creditos y Deudas,2026-06-06,train
10827,388,DB AUTOMATICO CREDITO AUTOMOTRIZ MAR DEL PLATA *9166 REF:685023,1017.0,Creditos y Deudas,2026-01-04,train
19163,685,C0MPR4 TPV B4NC0 S4NT4ND3R T4RJ3T4 R0S4RI0 *2233 R3F:814392,1554.94,Creditos y Deudas,2026-08-08,train
