id,usuario_id,descripcion,monto,categoria,fecha,split
1,354,POS ALQUILER DEPARTAMENTO TRIB,1137.1,Vivienda,2026-06-02,train
2,489,CERRAJERIA 24HS SUC 01,2257.67,Vivienda,2026-10-16,val
3,867,CUPON CUOTA HIPOTECA SUC 01,1095.39,Vivienda,2026-02-16,train
4,288,TRANSFERENCIA EXPENSAS CONSORCIO SUC 01,1541.67,Vivienda,2026-06-12,train
5,787,CUOTA HIPOTECA FACT,1306.72,Vivienda,2026-08-04,train
6,170,CUPON INMOBILIARIA FACT,1856.35,Vivienda,2026-12-03,test
7,937,ADMINISTRACION TORRES CUOTA 03,2150.07,Vivienda,2026-07-23,train
8,1113,TRANSFERENCIA ALQUILER DEPARTAMENTO,2163.3,Vivienda,2026-07-17,train
9,210,TRANSFERENCIA INMOBILIARIA SUC 14,1554.36,Vivienda,2026-09-24,val
10,179,CUPON ALQUILER DEPARTAMENTO SUC CENTRO,2123.66,Vivienda,2026-10-12,val
11,877,PAGO CERRAJERIA 24HS TRIB,2189.72,Vivienda,2026-01-31,train
12,1104,TRANSFERENCIA ALQUILER DEPARTAMENTO TRIB,2214.79,Vivienda,2026-02-05,train
13,843,PAGO CERRAJERIA 24HS,875.97,Vivienda,2026-06-30,train
14,507,PAGO ALQUILER SUC 01,2438.37,Vivienda,2026-11-18,test
15,155,POS EXPENSAS ONLINE,1148.15,Vivienda,2026-10-14,val
16,1000,PAGO ADMINISTRACION TORRES TRIB,2171.37,Vivienda,2026-08-14,train
17,734,PAGO ALQUILER DEPARTAMENTO FACT,2443.43,Vivienda,2026-01-01,train
18,581,CUPON EXPENSAS CONSORCIO SUC CENTRO,1161.79,Vivienda,2026-12-05,test
19,942,P4G0 4DM1N1STR4C10N T0RR3S,435.22,Vivienda,2026-05-28,train
20,271,CUPON ALQUILER DEPARTAMENTO SUC 14,2412.81,Vivienda,2026-08-26,train
21,762,ADMINISTRACION TORRES TRIB,512.42,Vivienda,2026-11-20,test
22,187,PAGO ADMINISTRACION TORRES SUC 14,530.23,Vivienda,2026-06-16,train
23,20,EXPENSAS CUOTA 03,660.51,Vivienda,2026-09-01,val
24,469,PAGO INMOBILIARIA SUC 01,2302.54,Vivienda,2026-03-29,train
25,273,POS CUOTA HIPOTECA SUC 01,2272.2,Vivienda,2026-07-07,train
26,437,TRANSFERENCIA ALQUILER DEPARTAMENTO SUC 01,468.56,Vivienda,2026-06-23,train
27,206,DB AUT INMOBILIARIA SUC 14,2582.11,Vivienda,2026-02-08,train
28,173,POS INMOBILIARIA SUC 01,1683.64,Vivienda,2026-02-01,train
29,1044,DB AUT ALQUILER DEPARTAMENTO SUC CENTRO,1712.02,Vivienda,2026-06-03,train
30,1024,CUPON PAGO ALQUILER ONLINE,883.87,Vivienda,2026-04-11,train
31,1165,POS ADMINISTRACION TORRES SUC 01,1516.94,Vivienda,2026-01-19,train
32,442,4LQU1L3R D3P4RT4M3NT0,1937.6,Vivienda,2026-05-20,train
33,868,PAGO ADMINISTRACION TORRES CUOTA 03,2660.41,Vivienda,2026-01-16,train
34,1048,POS EXPENSAS CONSORCIO,1822.26,Vivienda,2026-09-06,val
35,489,POS ALQUILER DEPARTAMENTO ONLINE,1538.98,Vivienda,2026-11-10,test
36,360,TRANSFERENCIA EXPENSAS,2594.99,Vivienda,2026-01-23,train
37,531,POS CUOTA HIPOTECA CUOTA 03,453.22,Vivienda,2026-07-01,train
38,880,DB AUT ALQUILER DEPARTAMENTO,2119.39,Vivienda,2026-02-02,train
39,114,CUPON ALQUILER DEPARTAMENTO FACT,795.22,Vivienda,2026-01-17,train
40,1043,TRANSFERENCIA ALQUILER DEPARTAMENTO,533.92,Vivienda,2026-05-26,train
41,367,POS INMOBILIARIA ONLINE,2427.17,Vivienda,2026-08-08,train
42,656,INMOBILIARIA TRIB,1583.79,Vivienda,2026-11-03,test
43,1057,EXPENSAS SUC 01,1634.58,Vivienda,2026-01-20,train
44,1133,DB AUT ADMINISTRACION TORRES SUC CENTRO,267.48,Vivienda,2026-11-26,test
45,1011,PAGO ADMINISTRACION TORRES SUC 14,625.83,Vivienda,2026-04-05,train
46,49,EXPENSAS CONSORCIO,2072.3,Vivienda,2026-11-13,test
47,771,POS ALQUILER DEPARTAMENTO,1809.76,Vivienda,2026-03-30,train
48,292,CUPON EXPENSAS CONSORCIO FACT,916.43,Vivienda,2026-10-17,val
49,174,CUPON CERRAJERIA 24HS TRIB,199.41,Vivienda,2026-09-06,val
50,268,TRANSFERENCIA ALQUILER DEPARTAMENTO,443.16,Vivienda,2026-05-10,train
51,557,PAGO INMOBILIARIA TRIB,2394.49,Vivienda,2026-03-08,train
52,921,CERRAJERIA 24HS SUC 01,631.38,Vivienda,2026-08-30,train
53,246,CUPON EXPENSAS CONSORCIO SUC CENTRO,408.4,Vivienda,2026-04-15,train
54,672,CERRAJERIA 24HS SUC 14,1946.07,Vivienda,2026-07-26,train
55,357,CERRAJERIA 24HS SUC CENTRO,755.16,Vivienda,2026-07-02,train
56,287,CERRAJERIA 24HS,2404.52,Vivienda,2026-04-14,train
57,173,EXPENSAS CONSORCIO ONLINE,2338.61,Vivienda,2026-01-16,train
58,189,PAGO ALQUILER FACT,2575.41,Vivienda,2026-03-08,train
59,809,ALQUILER DEPARTAMENTO ONLINE,413.28,Vivienda,2026-11-22,test
60,305,EXPENSAS CONSORCIO SUC CENTRO,1938.34,Vivienda,2026-04-08,train
61,180,CUPON INMOBILIARIA CUOTA 03,1758.18,Vivienda,2026-06-08,train
62,784,CERRAJERIA 24HS CUOTA 03,1220.32,Vivienda,2026-02-05,train
63,554,TRANSFERENCIA ADMINISTRACION TORRES CUOTA 03,1384.74,Vivienda,2026-09-23,val
64,1197,CUOTA HIPOTECA FACT,1704.16,Vivienda,2026-03-23,train
65,450,TRANSFERENCIA ADMINISTRACION TORRES,352.37,Vivienda,2026-11-11,test
66,735,EXPENSAS CONSORCIO SUC 14,1136.51,Vivienda,2026-07-24,train
67,386,TRANSFERENCIA CERRAJERIA 24HS SUC 01,1993.39,Vivienda,2026-11-02,test
68,116,4DM1N1STR4C10N T0RR3S F4CT,2478.02,Vivienda,2026-10-22,val
